Team,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Postseason
Washington Nationals,19,27.0,3.67,98,64,.605,3.33,162,162,159,3,9,1,51,1468.1,1296,594,543,129,497,32,1325,47,4,62,6133,120,3.54,1.221,7.9,0.8,3.0,8.1,2.67,1134,1
Arizona Diamondbacks,23,27.6,4.29,81,81,.500,3.92,162,162,156,6,7,2,38,1495.0,1460,695,651,176,485,42,1218,60,3,84,6338,99,4.04,1.301,8.8,1.1,2.9,7.3,2.51,1158,0
Atlanta Braves,21,27.2,3.38,96,66,.593,3.18,162,162,161,1,12,0,53,1450.1,1326,548,512,127,409,35,1232,51,3,50,5989,118,3.44,1.196,8.2,0.8,2.5,7.6,3.01,1090,1
Baltimore Orioles,26,27.9,4.38,85,77,.525,4.20,162,162,160,2,6,1,57,1453.0,1438,709,678,202,473,32,1169,50,3,38,6144,98,4.33,1.315,8.9,1.3,2.9,7.2,2.47,1076,0
Boston Red Sox,26,30.2,4.05,97,65,.599,3.79,162,162,157,5,8,2,33,1454.0,1366,656,613,156,524,10,1294,47,5,47,6143,109,3.84,1.300,8.5,1.0,3.2,8.0,2.47,1125,1
Chicago Cubs,31,28.7,4.25,66,96,.407,4.00,162,162,159,3,6,1,39,1448.0,1332,689,643,160,540,43,1184,62,4,59,6149,97,4.10,1.293,8.3,1.0,3.4,7.4,2.19,1116,0
Chicago White Sox,24,27.1,4.46,63,99,.389,3.98,162,162,157,5,5,1,40,1455.0,1424,723,643,182,509,24,1249,60,4,62,6214,106,4.13,1.329,8.8,1.1,3.1,7.7,2.45,1126,0
Cincinnati Reds,20,27.7,3.64,90,72,.556,3.38,162,162,157,5,17,2,43,1473.2,1294,589,554,170,435,28,1296,66,5,44,6077,112,3.81,1.173,7.9,1.0,2.7,7.9,2.98,1067,1
Cleveland Indians,28,27.5,4.09,92,70,.568,3.82,162,162,159,3,16,3,38,1441.1,1359,662,611,147,554,26,1379,58,3,71,6154,100,3.73,1.327,8.5,0.9,3.5,8.6,2.49,1168,1
Colorado Rockies,23,28.3,4.69,74,88,.457,4.44,162,162,161,1,5,0,35,1436.0,1545,760,708,136,517,52,1064,40,15,62,6248,101,3.96,1.436,9.7,0.9,3.2,6.7,2.06,1180,0
Detroit Tigers,20,28.4,3.85,93,69,.574,3.61,162,162,159,3,12,1,39,1462.2,1369,624,587,128,462,29,1428,42,7,63,6119,116,3.27,1.252,8.4,0.8,2.8,8.8,3.09,1107,1
Houston Astros,26,27.2,5.23,51,111,.315,4.79,162,162,160,2,5,1,32,1440.0,1530,848,766,191,616,32,1084,56,6,61,6370,85,4.67,1.490,9.6,1.2,3.9,6.8,1.76,1202,0
Kansas City Royals,21,28.9,3.71,86,76,.531,3.45,162,162,157,5,12,2,52,1448.1,1366,601,555,155,469,21,1208,41,4,60,6049,120,3.83,1.267,8.5,1.0,2.9,7.5,2.58,1103,0
Los Angeles Angels of Anaheim,26,29.1,4.55,78,84,.481,4.23,162,162,158,4,12,2,41,1457.2,1475,737,685,167,533,36,1200,45,4,74,6298,89,4.08,1.378,9.1,1.0,3.3,7.4,2.25,1188,0
Los Angeles Dodgers,27,28.1,3.59,92,70,.568,3.25,162,162,155,7,22,4,46,1450.1,1321,582,524,127,460,44,1292,43,3,66,6032,110,3.44,1.228,8.2,0.8,2.9,8.0,2.81,1099,1
Miami Marlins,26,26.0,3.99,62,100,.383,3.71,162,162,160,2,13,1,36,1460.0,1376,646,602,121,526,58,1177,47,2,53,6166,104,3.69,1.303,8.5,0.7,3.2,7.3,2.24,1140,0
Milwaukee Brewers,21,28.8,4.24,74,88,.457,3.84,162,162,158,4,15,2,40,1442.2,1401,687,615,175,466,29,1125,43,2,51,6100,101,4.12,1.294,8.7,1.1,2.9,7.0,2.41,1085,0
Minnesota Twins,23,28.3,4.86,66,96,.407,4.55,162,162,161,1,7,1,40,1450.1,1591,788,733,168,458,31,985,44,4,50,6257,90,4.23,1.413,9.9,1.0,2.8,6.1,2.15,1118,0
New York Mets,29,29.1,4.22,74,88,.457,3.77,162,162,158,4,10,2,40,1476.2,1442,684,618,152,458,38,1209,54,3,47,6249,95,3.79,1.287,8.8,0.9,2.8,7.4,2.64,1135,0
New York Yankees,24,31.8,4.14,85,77,.525,3.94,162,162,155,7,10,3,49,1447.1,1452,671,633,171,437,34,1233,51,1,57,6128,102,3.89,1.305,9.0,1.1,2.7,7.7,2.82,1115,0
Oakland Athletics,19,28.3,3.86,96,66,.593,3.56,162,162,156,6,13,4,46,1452.0,1339,625,574,163,428,23,1183,35,1,56,6069,109,3.83,1.217,8.3,1.0,2.7,7.3,2.76,1088,1
Philadelphia Phillies,27,28.7,4.62,73,89,.451,4.32,162,162,156,6,3,2,32,1436.1,1465,749,689,152,506,33,1199,62,6,48,6213,87,3.94,1.372,9.2,1.0,3.2,7.5,2.37,1155,0
Pittsburgh Pirates,29,28.7,3.56,94,68,.580,3.26,162,162,159,3,16,0,55,1470.2,1299,577,533,101,515,26,1261,70,6,81,6147,109,3.42,1.233,7.9,0.6,3.2,7.7,2.45,1158,1
San Diego Padres,23,28.8,4.32,76,86,.469,3.98,162,162,159,3,6,1,40,1455.0,1407,700,643,156,525,31,1171,40,2,51,6179,86,4.00,1.328,8.7,1.0,3.2,7.2,2.23,1114,0
Seattle Mariners,22,28.0,4.65,71,91,.438,4.31,162,162,158,4,14,2,43,1465.0,1467,754,702,174,478,48,1297,42,1,74,6257,86,3.89,1.328,9.0,1.1,2.9,8.0,2.71,1108,0
San Francisco Giants,21,29.6,4.27,76,86,.469,4.00,162,162,160,2,13,2,41,1447.1,1380,691,643,145,521,64,1256,50,4,60,6163,87,3.80,1.313,8.6,0.9,3.2,7.8,2.41,1130,0
St. Louis Cardinals,25,26.9,3.68,97,65,.599,3.42,162,162,155,7,15,4,44,1459.2,1366,596,555,112,451,26,1254,64,1,33,6104,110,3.39,1.245,8.4,0.7,2.8,7.7,2.78,1129,1
Tampa Bay Rays,21,29.0,3.96,92,71,.564,3.74,163,163,154,9,17,3,42,1464.0,1315,646,608,153,482,38,1310,52,6,69,6083,103,3.71,1.227,8.1,0.9,3.0,8.1,2.72,1045,1
Texas Rangers,25,27.9,3.90,91,72,.558,3.62,163,163,159,4,10,2,46,1463.1,1370,636,589,157,498,35,1309,48,5,68,6146,114,3.77,1.277,8.4,1.0,3.1,8.1,2.63,1120,0
Toronto Blue Jays,31,30.9,4.67,74,88,.457,4.25,162,162,158,4,11,2,39,1452.0,1451,756,685,195,500,33,1208,65,7,54,6250,97,4.30,1.344,9.0,1.2,3.1,7.5,2.42,1138,0
Washington Nationals,21,27.7,3.86,86,76,.531,3.59,162,162,156,6,13,4,47,1445.2,1367,626,576,142,405,17,1236,48,8,43,6038,106,3.56,1.226,8.5,0.9,2.5,7.7,3.05,1075,0
Arizona Diamondbacks,25,28.0,4.58,64,98,.395,4.26,162,162,160,2,4,1,35,1444.1,1467,742,683,154,469,43,1278,51,5,50,6162,88,3.83,1.340,9.1,1.0,2.9,8.0,2.72,1087,0
Atlanta Braves,20,27.3,3.69,79,83,.488,3.38,162,162,157,5,13,2,54,1455.0,1369,597,547,121,472,36,1301,37,1,75,6087,106,3.47,1.265,8.5,0.7,2.9,8.0,2.76,1125,0
Baltimore Orioles,20,27.7,3.66,96,66,.593,3.43,162,162,159,3,13,2,53,1461.1,1342,593,557,151,472,25,1174,59,2,42,6104,115,3.96,1.241,8.3,0.9,2.9,7.2,2.49,1127,1
Boston Red Sox,25,29.9,4.41,71,91,.438,4.01,162,162,159,3,7,2,36,1465.2,1458,715,653,154,482,19,1213,47,5,51,6231,100,3.93,1.324,9.0,0.9,3.0,7.4,2.52,1119,0
Chicago Cubs,27,28.0,4.36,73,89,.451,3.91,162,162,161,1,11,1,37,1463.1,1398,707,636,115,504,37,1311,55,3,64,6208,97,3.51,1.300,8.6,0.7,3.1,8.1,2.60,1111,0
Chicago White Sox,26,27.4,4.68,73,89,.451,4.29,162,162,159,3,6,0,36,1441.0,1468,758,687,140,557,42,1152,69,3,75,6255,88,4.09,1.405,9.2,0.9,3.5,7.2,2.07,1174,0
Cincinnati Reds,25,28.0,3.78,76,86,.469,3.59,162,162,157,5,13,3,44,1446.0,1282,612,576,163,507,33,1290,69,5,45,6067,103,4.01,1.237,8.0,1.0,3.2,8.0,2.54,1117,0
Cleveland Indians,23,27.2,4.03,85,77,.525,3.56,162,162,156,6,15,4,40,1468.1,1398,653,581,135,464,51,1450,58,2,56,6193,110,3.42,1.268,8.6,0.8,2.8,8.9,3.13,1135,0
Colorado Rockies,26,28.5,5.05,66,96,.407,4.84,162,162,161,1,4,1,24,1431.0,1528,818,770,173,531,32,1074,54,8,72,6248,88,4.43,1.439,9.6,1.1,3.3,6.8,2.02,1137,0
Detroit Tigers,30,28.5,4.35,90,72,.556,4.01,162,162,157,5,8,4,41,1454.0,1475,705,648,127,462,34,1244,42,9,43,6191,97,3.60,1.332,9.1,0.8,2.9,7.7,2.69,1124,1
Houston Astros,28,27.9,4.46,70,92,.432,4.11,162,162,155,7,3,2,31,1438.2,1437,723,657,139,484,32,1137,52,7,57,6154,94,3.93,1.335,9.0,0.9,3.0,7.1,2.35,1115,0
Kansas City Royals,23,28.9,3.85,89,73,.549,3.51,162,162,159,3,14,2,53,1450.2,1386,624,565,128,440,14,1168,56,6,58,6101,113,3.69,1.259,8.6,0.8,2.7,7.2,2.65,1125,1
Los Angeles Angels of Anaheim,31,28.4,3.89,98,64,.605,3.58,162,162,159,3,13,2,46,1482.2,1307,630,590,126,504,41,1342,63,4,74,6179,101,3.57,1.221,7.9,0.8,3.1,8.1,2.66,1101,1
Los Angeles Dodgers,25,29.9,3.81,94,68,.580,3.40,162,162,155,7,16,3,47,1464.2,1338,617,554,142,429,35,1373,41,4,64,6075,103,3.48,1.206,8.2,0.9,2.6,8.4,3.20,1064,1
Miami Marlins,25,26.4,4.16,77,85,.475,3.78,162,162,159,3,16,3,42,1457.2,1481,674,613,114,458,35,1190,49,4,56,6217,98,3.56,1.330,9.1,0.7,2.8,7.3,2.60,1170,0
Milwaukee Brewers,21,29.0,4.06,82,80,.506,3.67,162,162,159,3,9,3,45,1457.2,1386,657,594,167,431,20,1246,42,2,44,6106,103,3.89,1.247,8.6,1.0,2.7,7.7,2.89,1076,0
Minnesota Twins,23,29.2,4.80,70,92,.432,4.57,162,162,160,2,7,0,38,1435.0,1588,777,728,147,408,24,1031,45,6,50,6212,86,3.97,1.391,10.0,0.9,2.6,6.5,2.53,1130,0
New York Mets,22,28.9,3.81,79,83,.488,3.49,162,162,161,1,11,1,42,1463.2,1370,618,568,141,509,38,1303,50,1,56,6170,99,3.75,1.284,8.4,0.9,3.1,8.0,2.56,1161,0
New York Yankees,33,29.3,4.10,84,78,.519,3.75,162,162,157,5,10,2,48,1453.0,1392,664,605,164,398,23,1370,65,6,49,6114,103,3.67,1.232,8.6,1.0,2.5,8.5,3.44,1091,0
Oakland Athletics,23,28.2,3.53,88,74,.543,3.22,162,162,155,7,13,3,31,1463.1,1269,572,524,147,406,28,1244,48,1,59,5972,116,3.67,1.145,7.8,0.9,2.5,7.7,3.06,1010,1
Philadelphia Phillies,26,30.1,4.24,73,89,.451,3.79,162,162,160,2,12,0,40,1468.1,1396,687,619,134,521,43,1255,69,1,49,6261,99,3.81,1.306,8.6,0.8,3.2,7.7,2.41,1169,0
Pittsburgh Pirates,23,28.1,3.90,88,74,.543,3.47,162,162,160,2,7,1,48,1456.1,1341,631,562,128,499,43,1228,88,3,71,6130,103,3.80,1.263,8.3,0.8,3.1,7.6,2.46,1130,1
San Diego Padres,24,28.8,3.56,77,85,.475,3.27,162,162,158,4,10,3,41,1438.2,1300,577,523,117,462,32,1284,46,4,57,6006,104,3.46,1.225,8.1,0.7,2.9,8.0,2.78,1113,0
Seattle Mariners,20,29.0,3.42,87,75,.537,3.17,162,162,160,2,9,1,51,1452.0,1240,554,512,137,463,36,1317,52,8,80,5974,115,3.61,1.173,7.7,0.8,2.9,8.2,2.84,1064,0
San Francisco Giants,21,31.7,3.79,88,74,.543,3.50,162,162,154,8,12,3,46,1449.0,1305,614,564,133,389,35,1211,57,6,49,5947,99,3.58,1.169,8.1,0.8,2.4,7.5,3.11,986,1
St. Louis Cardinals,24,27.2,3.72,90,72,.556,3.50,162,162,154,8,23,5,55,1448.2,1321,603,564,123,470,35,1221,61,5,44,6069,104,3.65,1.236,8.2,0.8,2.9,7.6,2.60,1120,1
Tampa Bay Rays,23,28.4,3.86,77,85,.475,3.56,162,162,159,3,22,1,37,1463.2,1292,625,579,145,482,27,1437,58,3,65,6131,105,3.56,1.212,7.9,0.9,3.0,8.8,2.98,1115,0
Texas Rangers,41,27.9,4.77,67,95,.414,4.49,162,162,156,6,17,4,33,1426.1,1510,773,711,160,505,43,1110,61,7,61,6195,89,4.22,1.413,9.5,1.0,3.2,7.0,2.20,1143,0
Toronto Blue Jays,27,29.6,4.23,83,79,.512,4.00,162,162,159,3,16,2,45,1443.0,1400,686,642,151,490,23,1199,57,5,43,6150,95,3.97,1.310,8.7,0.9,3.1,7.5,2.45,1135,0
Washington Nationals,18,28.3,3.43,96,66,.593,3.03,162,162,157,5,19,4,45,1470.2,1351,555,495,110,352,26,1288,51,2,37,6020,124,3.17,1.158,8.3,0.7,2.2,7.9,3.66,1053,1
Arizona Diamondbacks,27,27.1,4.40,79,83,.488,4.04,162,162,161,1,12,1,44,1466.2,1450,713,659,182,500,45,1215,48,3,51,6257,102,4.21,1.330,8.9,1.1,3.1,7.5,2.43,1144,0
Atlanta Braves,37,26.6,4.69,67,95,.414,4.41,162,162,159,3,10,2,44,1425.1,1462,760,698,170,550,45,1148,53,9,53,6156,88,4.34,1.412,9.2,1.1,3.5,7.2,2.09,1120,0
Baltimore Orioles,22,28.3,4.28,81,81,.500,4.05,162,162,162,0,10,0,43,1434.2,1406,693,646,174,483,27,1233,54,0,46,6085,102,4.11,1.317,8.8,1.1,3.0,7.7,2.55,1088,0
Boston Red Sox,26,28.6,4.65,78,84,.481,4.31,162,162,159,3,10,1,40,1448.1,1486,753,694,178,478,17,1218,62,10,79,6225,100,4.17,1.356,9.2,1.1,3.0,7.6,2.55,1127,0
Chicago Cubs,29,29.3,3.75,97,65,.599,3.36,162,162,156,6,21,4,48,1461.1,1276,608,546,134,407,38,1431,46,3,66,5997,114,3.30,1.152,7.9,0.8,2.5,8.8,3.52,1005,1
Chicago White Sox,24,27.8,4.33,76,86,.469,3.98,162,162,155,7,9,4,37,1452.2,1443,701,643,162,474,34,1359,62,2,61,6181,98,3.82,1.320,8.9,1.0,2.9,8.4,2.87,1122,0
Cincinnati Reds,28,27.3,4.65,64,98,.395,4.33,162,162,160,2,8,1,35,1453.1,1436,754,700,177,544,42,1252,58,11,54,6271,92,4.24,1.362,8.9,1.1,3.4,7.8,2.30,1157,0
Cleveland Indians,27,27.3,3.98,81,80,.503,3.67,161,161,150,11,10,1,38,1432.2,1274,640,584,161,425,27,1407,48,5,48,5904,117,3.62,1.186,8.0,1.0,2.7,8.8,3.31,966,0
Colorado Rockies,30,28.7,5.21,68,94,.420,5.04,162,162,158,4,4,1,36,1426.1,1579,844,799,183,579,42,1112,48,6,66,6308,92,4.56,1.513,10.0,1.2,3.7,7.0,1.92,1185,0
Detroit Tigers,27,28.7,4.99,74,87,.460,4.64,161,161,154,7,12,4,35,1447.0,1491,803,746,193,489,32,1100,46,8,60,6188,86,4.46,1.368,9.3,1.2,3.0,6.8,2.25,1044,0
Houston Astros,24,29.4,3.81,86,76,.531,3.57,162,162,157,5,13,3,39,1441.0,1308,618,572,148,423,17,1280,43,2,61,5965,110,3.66,1.201,8.2,0.9,2.6,8.0,3.03,1024,1
Kansas City Royals,24,30.0,3.96,95,67,.586,3.73,162,162,160,2,8,1,56,1452.0,1372,641,601,155,489,10,1160,52,2,62,6112,112,4.04,1.282,8.5,1.0,3.0,7.2,2.37,1115,1
Los Angeles Angels of Anaheim,25,28.3,4.17,85,77,.525,3.94,162,162,160,2,12,2,46,1440.2,1355,675,630,166,466,45,1221,71,4,61,6096,96,4.06,1.264,8.5,1.0,2.9,7.6,2.62,1099,0
Los Angeles Dodgers,31,28.1,3.67,92,70,.568,3.44,162,162,156,6,21,3,47,1445.2,1317,595,553,145,395,32,1396,38,10,52,5932,107,3.41,1.184,8.2,0.9,2.5,8.7,3.53,1000,1
Miami Marlins,29,27.3,4.19,71,91,.438,4.02,162,162,162,0,12,0,35,1427.0,1374,678,638,141,508,25,1152,52,3,53,6050,95,3.98,1.319,8.7,0.9,3.2,7.3,2.27,1091,0
Milwaukee Brewers,26,28.4,4.55,68,94,.420,4.28,162,162,161,1,7,0,40,1435.0,1432,737,682,176,517,36,1260,55,5,71,6148,93,4.17,1.358,9.0,1.1,3.2,7.9,2.44,1106,0
Minnesota Twins,24,29.1,4.32,83,79,.512,4.07,162,162,160,2,12,0,45,1443.0,1506,700,653,163,413,34,1046,41,2,54,6139,100,4.10,1.330,9.4,1.0,2.6,6.5,2.53,1110,0
New York Mets,26,28.2,3.78,90,72,.556,3.43,162,162,161,1,14,1,50,1462.2,1341,613,557,152,383,43,1337,44,2,46,6046,111,3.53,1.179,8.3,0.9,2.4,8.2,3.49,1045,1
New York Yankees,33,27.4,4.31,87,75,.537,4.03,162,162,159,3,4,0,48,1457.2,1416,698,652,182,474,16,1370,56,4,78,6191,101,3.97,1.297,8.7,1.1,2.9,8.5,2.89,1120,1
Oakland Athletics,30,27.8,4.50,68,94,.420,4.14,162,162,157,5,15,3,28,1444.2,1402,729,664,172,474,19,1179,47,4,62,6128,94,4.13,1.299,8.7,1.1,3.0,7.3,2.49,1065,0
Philadelphia Phillies,30,28.5,4.99,63,99,.389,4.69,162,162,161,1,7,1,35,1436.1,1592,809,749,191,488,37,1153,61,7,60,6332,82,4.40,1.448,10.0,1.2,3.1,7.2,2.36,1214,0
Pittsburgh Pirates,21,29.6,3.68,98,64,.605,3.21,162,162,162,0,13,0,54,1489.2,1392,596,532,110,453,38,1338,75,4,67,6215,121,3.36,1.239,8.4,0.7,2.7,8.1,2.95,1150,1
San Diego Padres,26,29.1,4.51,74,88,.457,4.09,162,162,161,1,6,0,41,1440.1,1371,731,655,171,516,35,1393,54,3,54,6093,91,3.93,1.310,8.6,1.1,3.2,8.7,2.70,1041,0
Seattle Mariners,28,28.6,4.48,76,86,.469,4.16,162,162,156,6,12,5,45,1463.0,1430,726,677,181,491,41,1283,70,5,72,6223,92,4.14,1.313,8.8,1.1,3.0,7.9,2.61,1108,0
San Francisco Giants,21,31.5,3.87,84,78,.519,3.72,162,162,155,7,18,4,41,1444.1,1344,627,597,155,431,28,1165,50,4,40,6009,103,3.91,1.229,8.4,1.0,2.7,7.3,2.70,1049,0
St. Louis Cardinals,23,28.2,3.24,100,62,.617,2.94,162,162,161,1,15,0,62,1464.2,1359,525,478,123,477,37,1329,45,5,48,6134,134,3.47,1.254,8.4,0.8,2.9,8.2,2.79,1215,1
Tampa Bay Rays,27,26.7,3.96,80,82,.494,3.74,162,162,161,1,12,1,60,1453.1,1314,642,604,175,477,23,1355,46,5,81,6069,105,3.91,1.232,8.1,1.1,3.0,8.4,2.84,1067,0
Texas Rangers,31,28.1,4.52,88,74,.543,4.24,162,162,157,5,9,3,45,1442.2,1459,733,680,171,508,29,1095,63,5,51,6215,100,4.34,1.363,9.1,1.1,3.2,6.8,2.16,1154,1
Toronto Blue Jays,28,29.2,4.14,93,69,.574,3.80,162,162,155,7,10,2,34,1441.0,1353,670,609,173,397,20,1117,59,4,62,5984,108,4.09,1.214,8.5,1.1,2.5,7.0,2.81,991,1
